A,Z,N,2t,2j,n,energy,error
20,10,10,0.0,0.0,1.0,-40.47233,0.0
20,10,10,0.0,4.0,1.0,-38.72564,0.0
20,10,10,0.0,8.0,1.0,-36.29706,0.0
20,10,10,0.0,0.0,2.0,-33.77415,0.0
20,10,10,0.0,4.0,2.0,-32.92937,0.0
20,10,10,0.0,12.0,1.0,-31.9252,0.0
20,10,10,0.0,8.0,2.0,-30.527,0.0
20,10,10,2.0,4.0,1.0,-30.51424,0.0
20,10,10,0.0,6.0,1.0,-29.98738,0.0
20,10,10,0.0,4.0,3.0,-29.97915,0.0
20,10,10,2.0,6.0,1.0,-29.91868,0.0
20,10,10,0.0,8.0,3.0,-29.7579,0.0
20,10,10,0.0,4.0,4.0,-29.6849,0.0
20,10,10,2.0,8.0,1.0,-29.66262,0.0
20,10,10,2.0,2.0,1.0,-29.3066,0.0
20,10,10,0.0,16.0,1.0,-28.95842,0.0
20,10,10,0.0,6.0,2.0,-28.86077,0.0
20,10,10,0.0,10.0,1.0,-28.82056,0.0
20,10,10,0.0,8.0,4.0,-28.75425,0.0
20,10,10,2.0,10.0,1.0,-28.72487,0.0
20,10,10,0.0,0.0,3.0,-28.56407,0.0
20,10,10,2.0,4.0,2.0,-28.19944,0.0
20,10,10,2.0,6.0,2.0,-28.11038,0.0
20,10,10,0.0,10.0,2.0,-28.04582,0.0
20,10,10,0.0,2.0,1.0,-27.83635,0.0
20,10,10,0.0,12.0,2.0,-27.77187,0.0
20,10,10,2.0,6.0,3.0,-27.64327,0.0
20,10,10,0.0,6.0,3.0,-27.3014,0.0
20,10,10,0.0,4.0,5.0,-27.20505,0.0
20,10,10,0.0,4.0,6.0,-27.03384,0.0
20,10,10,2.0,2.0,2.0,-26.9867,0.0
20,10,10,2.0,6.0,4.0,-26.94575,0.0
20,10,10,2.0,4.0,3.0,-26.64578,0.0
20,10,10,2.0,8.0,2.0,-26.63054,0.0
20,10,10,0.0,8.0,5.0,-26.5654,0.0
20,10,10,0.0,6.0,4.0,-26.52493,0.0
20,10,10,0.0,4.0,7.0,-26.49325,0.0
20,10,10,0.0,14.0,1.0,-26.4754,0.0
20,10,10,0.0,8.0,6.0,-26.36328,0.0
20,10,10,2.0,14.0,1.0,-26.08876,0.0
20,10,10,2.0,0.0,1.0,-26.04143,0.0
20,10,10,0.0,12.0,3.0,-25.91107,0.0
20,10,10,2.0,12.0,1.0,-25.87535,0.0
20,10,10,2.0,2.0,3.0,-25.85962,0.0
20,10,10,0.0,0.0,4.0,-25.8071,0.0
20,10,10,0.0,2.0,2.0,-25.73351,0.0
20,10,10,0.0,10.0,3.0,-25.62986,0.0
20,10,10,0.0,12.0,4.0,-25.50077,0.0
20,10,10,0.0,2.0,3.0,-25.49045,0.0
20,10,10,0.0,4.0,8.0,-25.35388,0.0
20,10,10,2.0,4.0,4.0,-25.31234,0.0
20,10,10,2.0,10.0,2.0,-25.24979,0.0
20,10,10,0.0,8.0,7.0,-25.23429,0.0
20,10,10,2.0,2.0,4.0,-25.06005,0.0
20,10,10,2.0,4.0,5.0,-24.96578,0.0
20,10,10,2.0,6.0,5.0,-24.92195,0.0
20,10,10,0.0,2.0,4.0,-24.73655,0.0
20,10,10,2.0,8.0,3.0,-24.72848,0.0
20,10,10,0.0,12.0,5.0,-24.70924,0.0
20,10,10,0.0,6.0,5.0,-24.59568,0.0
20,10,10,0.0,16.0,2.0,-24.58406,0.0
20,10,10,0.0,4.0,9.0,-24.55844,0.0
20,10,10,2.0,2.0,5.0,-24.5041,0.0
20,10,10,2.0,10.0,3.0,-24.43331,0.0
20,10,10,0.0,8.0,8.0,-24.35499,0.0
20,10,10,2.0,4.0,6.0,-24.33811,0.0
20,10,10,0.0,0.0,5.0,-24.20408,0.0
20,10,10,2.0,8.0,4.0,-24.16084,0.0
20,10,10,2.0,12.0,2.0,-24.08421,0.0
20,10,10,0.0,10.0,4.0,-23.91078,0.0
20,10,10,0.0,8.0,9.0,-23.85192,0.0
20,10,10,0.0,6.0,6.0,-23.83941,0.0
20,10,10,0.0,4.0,10.0,-23.71526,0.0
20,10,10,0.0,0.0,6.0,-23.71198,0.0
20,10,10,0.0,4.0,11.0,-23.64295,0.0
20,10,10,4.0,0.0,1.0,-23.63209,0.0
20,10,10,2.0,6.0,6.0,-23.63093,0.0
20,10,10,2.0,4.0,7.0,-23.56592,0.0
20,10,10,2.0,8.0,5.0,-23.45901,0.0
20,10,10,0.0,6.0,7.0,-23.40537,0.0
20,10,10,2.0,8.0,6.0,-23.34197,0.0
20,10,10,2.0,2.0,6.0,-23.19693,0.0
20,10,10,2.0,6.0,7.0,-23.11107,0.0
20,10,10,2.0,2.0,7.0,-23.08417,0.0
20,10,10,0.0,4.0,12.0,-23.07029,0.0
20,10,10,2.0,14.0,2.0,-23.0377,0.0
20,10,10,2.0,4.0,8.0,-23.01531,0.0
20,10,10,0.0,6.0,8.0,-23.01052,0.0
20,10,10,0.0,10.0,5.0,-23.00318,0.0
20,10,10,2.0,10.0,4.0,-22.92151,0.0
20,10,10,0.0,8.0,10.0,-22.88491,0.0
20,10,10,0.0,2.0,5.0,-22.86792,0.0
20,10,10,0.0,12.0,6.0,-22.7572,0.0
20,10,10,0.0,6.0,9.0,-22.66307,0.0
20,10,10,2.0,2.0,8.0,-22.63774,0.0
20,10,10,2.0,6.0,8.0,-22.60285,0.0
20,10,10,0.0,10.0,6.0,-22.54739,0.0
20,10,10,0.0,4.0,13.0,-22.4498,0.0
20,10,10,2.0,0.0,2.0,-22.4084,0.0
20,10,10,2.0,8.0,7.0,-22.3974,0.0
