A,Z,N,2t,2j,n,energy,error
17,8,9,1,5,1,-4.144,0.000
17,8,9,1,1,1,0.870,0.001
17,8,9,1,3,1,5.740,2.001
18,8,10,2,0,1,-12.188,0.001
18,8,10,2,4,1,1.982,0.001
18,8,10,2,8,1,3.555,0.001
18,8,10,2,6,1,5.378,0.001
19,8,11,3,5,1,-16.143,0.003
19,8,11,3,3,1,0.096,0.001
19,8,11,3,1,1,1.472,0.001
19,8,11,3,9,1,2.372,0.001
19,8,11,3,7,1,2.779,0.001
19,8,11,3,5,2,3.154,0.001
19,8,11,3,3,2,4.109,0.001
20,8,12,4,0,1,-23.752,0.001
20,8,12,4,4,1,1.674,0.001
20,8,12,4,8,1,3.568,0.001
20,8,12,4,4,2,4.070,0.001
20,8,12,4,0,2,4.456,3.001
20,8,12,4,8,2,4.850,2.001
20,8,12,4,4,3,5.234,3.001
20,8,12,4,4,3,5.304,2.001
20,8,12,4,0,2,5.387,0.001
21,8,13,5,5,1,-27.558,0.012
21,8,13,5,1,1,1.218,0.001
21,8,13,5,3,1,2.133,0.001
21,8,13,5,5,2,3.026,0.001
21,8,13,5,7,1,3.073,0.001
21,8,13,5,9,1,4.927,0.001
22,8,14,6,0,1,-34.408,0.057
22,8,14,6,4,1,3.199,0.001
22,8,14,6,6,1,4.582,2.001
22,8,14,6,0,2,4.909,2.001
22,8,14,6,4,2,6.509,2.001
22,8,14,6,8,1,6.936,2.001
23,8,15,7,1,1,-37.146,0.078
23,8,15,7,5,1,1.500,2.000
24,8,16,8,0,1,-41.340,0.098
24,8,16,8,4,1,4.000,2.001
25,8,17,9,3,1,-40.464,2.257
26,8,18,10,0,1,-40.264,2.257
26,8,18,10,4,1,1.500,2.000
27,8,19,11,3,1,-39.094,2.503
28,8,20,12,0,1,-38.270,2.596
18,9,9,0,2,1,-13.230,0.001
18,9,9,0,6,1,0.937,0.001
18,9,9,0,10,1,1.121,0.001
18,9,9,0,2,2,1.700,2.001
18,9,9,0,4,1,2.523,2.001
18,9,9,0,6,2,3.358,2.001
18,9,9,0,2,2,3.724,0.001
18,9,9,0,4,2,3.839,2.001
18,9,9,0,6,3,4.116,2.001
18,9,9,0,2,3,4.360,2.001
18,9,9,0,8,1,5.297,2.001
19,9,10,1,1,1,-23.662,0.000
19,9,10,1,5,1,0.197,0.001
19,9,10,1,3,1,1.554,0.001
19,9,10,1,9,1,2.779,0.001
19,9,10,1,7,1,4.377,2.001
19,9,10,1,13,1,4.647,0.001
19,9,10,1,5,2,5.106,0.001
19,9,10,1,7,2,5.464,2.001
19,9,10,1,7,3,6.070,2.001
19,9,10,1,7,4,6.330,2.001
19,9,10,1,1,2,6.255,0.001
19,9,10,1,11,1,6.500,0.001
19,9,10,1,9,2,6.592,2.001
19,9,10,1,11,2,7.937,0.001
19,9,10,1,13,2,10.411,0.001
20,9,11,2,4,1,-30.264,0.000
20,9,11,2,6,1,0.656,0.001
20,9,11,2,8,1,0.822,0.001
20,9,11,2,2,1,1.057,0.001
20,9,11,2,10,1,1.823,0.001
20,9,11,2,4,2,2.044,0.001
20,9,11,2,6,2,2.194,0.001
20,9,11,2,6,3,2.966,0.001
20,9,11,2,2,2,3.488,0.001
20,9,11,2,0,1,3.526,2.001
20,9,11,2,2,3,3.965,2.001
20,9,11,2,12,1,4.510,2.001
20,9,11,2,14,1,4.590,2.001
21,9,12,3,5,1,-38.365,0.002
21,9,12,3,1,1,0.280,0.001
21,9,12,3,3,1,1.730,0.001
21,9,12,3,9,1,1.755,0.001
21,9,12,3,5,2,3.469,2.001
21,9,12,3,3,2,3.510,2.001
22,9,13,4,8,1,-43.596,0.012
22,9,13,4,6,1,0.072,0.001
22,9,13,4,4,1,0.710,0.001
22,9,13,4,10,1,1.414,0.001
22,9,13,4,2,1,1.625,0.001
22,9,13,4,4,2,2.010,0.001
22,9,13,4,2,2,2.572,0.001
23,9,14,5,5,1,-51.131,0.080
23,9,14,5,1,1,1.577,2.001
23,9,14,5,7,1,2.912,0.001
